Product Name;Product Key;Id;Name;Type;Value;isHidden;isFrozen;Term In Product;Value in TS;
AHV;chPillarOne;annualPension44;Jährliche Rente (gemäss Tabelle 44);value;;-;-;-;;
AHV;chPillarOne;missingContributionYears;Fehlende Beitragsjahre;integer;0;-;-;+;0;
AHV;chPillarOne;retirementAge;Rentenalter (63 .. 70);integer;65;-;-;+;;
Alimony Expense;alimonyExpense;amount;Betrag;value;;-;-;-;;
Alimony Expense;alimonyExpense;periodicity;Periodizität;periodicity;monthly;-;-;+;;
Alimony Expense;alimonyExpense;recipient;Empfänger;member;;-;-;-;;
Alimony Income;alimonyIncome;amount;Betrag;value;;-;-;-;;
Alimony Income;alimonyIncome;payer;Zahler;member;;-;-;-;;
Alimony Income;alimonyIncome;periodicity;Periodizität;periodicity;monthly;-;-;+;;
BVG 1e;chPillar1ePortfolio;assetAllocation;Asset Allocation;asset_allocation;stock60_bond40;-;-;+;;
BVG 1e;chPillar1ePortfolio;contribution;Einzahlung;value;;+;-;+;;
BVG 1e;chPillar1ePortfolio;contributionEndDate;Ende Einzahlung;date;;+;-;+;;
BVG 1e;chPillar1ePortfolio;contributionPeriodicity;Periodiziät der Einzahlung;periodicity;yearly;+;+;+;;
BVG 1e;chPillar1ePortfolio;contributionStartDate;Start Einzahlung;date;;+;-;+;;
BVG 1e;chPillar1ePortfolio;managementFee;Management Fee;percentage;0.0;+;-;+;;
BVG 1e;chPillar1ePortfolio;performanceFee;Performance Fee;percentage;0.0;+;-;+;;
BVG 1e;chPillar1ePortfolio;withdrawal;Auszahlung;amount;;-;-;-;;
BVG 1e;chPillar1ePortfolio;withdrawalEndDate;Ende Auszahlung;date;;+;-;+;;
BVG 1e;chPillar1ePortfolio;withdrawalPeriodicity;Periodizität der Auszahlung;periodicity;once;+;-;+;;
BVG 1e;chPillar1ePortfolio;withdrawalStartDate;Start Auszahlung;date;;+;-;+;;
Erste Hypothek;chFirstMortgage;interestRate;Zinssatz;percentage;2.0;-;-;+;;
Expenditure;expenditure;amount;Betrag;value;;-;-;-;;
Expenditure;expenditure;fromHolding;Quelle;holding;;-;-;-;;
Expenditure;expenditure;periodicity;Periodizität;periodicity;once;+;+;+;;
Expenditure;expenditure;toHolding;Ziel;holding;;-;-;-;;
Expense;expense;amount;Betrag;value;;-;-;-;;
Expense;expense;periodicity;Periodizität;periodicity;yearly;-;-;+;;
Haupterwerbseinkommen;chPrimarySalary;annualGrossIncome;Jährliches Bruttoeinkommen;value;;-;-;-;;
Haupterwerbseinkommen;chPrimarySalary;annualNetIncome;Jährliches Nettoeinkommen;value;;-;-;-;;
Immobilie;chRealEstate;fiscalValue;Fiscal Value;value;;-;-;-;;
Immobilie;chRealEstate;imputedRentalValue;Imputed Rental Value;value;;-;-;-;;
Immobilie;chRealEstate;isSelfOccupied;Is self occupied?;boolean;;-;-;-;;
Immobilie;chRealEstate;maintenanceRate;Maintenance Rate;percentage;2.0;-;-;+;;
Immobilie;chRealEstate;rentalIncome;Rental Income (yearly);amount;;-;-;-;;
Income;income;amount;Betrag;value;;-;-;-;;
Income;income;periodicity;Periodizität;periodicity;yearly;-;-;+;;
Investment Plan;investmentPlan;assetAllocation;Asset Allocation;asset_allocation;stock60_bond40;-;-;+;;
Investment Plan;investmentPlan;contribution;Einzahlung;value;;-;-;-;;
Investment Plan;investmentPlan;contributionEndDate;Ende Einzahlung;date;;-;-;-;;
Investment Plan;investmentPlan;contributionPeriodicity;Periodiziät der Einzahlung;periodicity;yearly;-;-;+;;
Investment Plan;investmentPlan;contributionStartDate;Start Einzahlung;date;;-;-;-;;
Investment Plan;investmentPlan;managementFee;Management Fee;percentage;2.0;-;-;+;;
Investment Plan;investmentPlan;performanceFee;Performance Fee;percentage;20.0;-;-;+;;
Investment Plan;investmentPlan;withdrawal;Auszahlung;amount;;-;-;-;;
Investment Plan;investmentPlan;withdrawalEndDate;Ende Auszahlung;date;;-;-;-;;
Investment Plan;investmentPlan;withdrawalPeriodicity;Periodizität der Auszahlung;periodicity;;-;-;-;;
Investment Plan;investmentPlan;withdrawalStartDate;Start Auszahlung;date;;-;-;-;;
